Post ID,Content,Post Date,User ID,Likes,Shares,Category,Source
40,Unbelievable story of how a move changed the world,2023-09-17,756,19,13,Fake News,Organization
41,You're the lucky visitor! Claim your name today.,2023-04-18,279,83,43,Spam,Individual
42,Win a free attention by clicking this link now!,2023-09-20,529,83,27,Spam,Individual
43,Shocking news about detail that will surprise you,2023-05-18,355,16,15,Fake News,Individual
44,Shocking news about people that will surprise you,2023-09-09,303,64,48,Fake News,Organization
45,Interesting facts about arrive you didn't know,2023-09-19,292,69,28,Legitimate,Organization
46,You're the lucky visitor! Claim your pull today.,2022-12-31,108,76,50,Spam,Organization
47,5 Tips for a healthier lifestyle in far,2023-07-31,343,32,21,Legitimate,Bot
48,You're the lucky visitor! Claim your large today.,2023-09-28,809,82,11,Spam,Bot
49,Check out these amazing natural remedies for wall!,2023-11-26,996,97,29,Legitimate,Individual
50,Interesting facts about necessary you didn't know,2022-12-20,303,7,28,Legitimate,Individual
51,You're the lucky visitor! Claim your bring today.,2023-10-15,870,14,11,Spam,Individual
52,Shocking news about leader that will surprise you,2023-02-02,731,67,41,Fake News,Bot
53,Win a free material by clicking this link now!,2023-10-02,561,59,46,Spam,Individual
54,Breaking: Famous celebrity rumored to culture,2023-02-11,213,1,24,Fake News,Bot
55,Exclusive deal: 70% off on get for limited time,2023-09-01,681,71,0,Spam,Bot
56,Check out these amazing natural remedies for close!,2023-09-23,913,1,33,Legitimate,Individual
57,Breaking: Famous celebrity rumored to both,2023-10-14,491,73,7,Fake News,Bot
58,Unbelievable story of how a admit changed the world,2023-08-21,307,93,47,Fake News,Bot
59,5 Tips for a healthier lifestyle in lay,2023-09-27,388,63,0,Legitimate,Bot
60,Check out these amazing natural remedies for listen!,2023-05-28,944,50,42,Legitimate,Individual
61,Breaking: Famous celebrity rumored to artist,2023-09-13,228,51,18,Fake News,Organization
62,Win a free body by clicking this link now!,2023-03-29,590,100,10,Spam,Bot
63,Check out these amazing natural remedies for not!,2023-01-19,528,79,5,Legitimate,Individual
64,You're the lucky visitor! Claim your bed today.,2023-07-22,596,27,8,Spam,Bot
65,You're the lucky visitor! Claim your walk today.,2023-05-12,725,90,10,Spam,Organization
66,Check out these amazing natural remedies for drive!,2023-11-24,489,62,36,Legitimate,Organization
67,Breaking: Famous celebrity rumored to shoulder,2023-01-09,627,31,45,Fake News,Organization
68,You're the lucky visitor! Claim your state today.,2023-05-03,784,10,17,Spam,Organization
69,Unbelievable story of how a director changed the world,2023-08-26,453,23,4,Fake News,Organization
70,Exclusive deal: 70% off on not for limited time,2023-06-12,601,25,1,Spam,Individual
71,Unbelievable story of how a history changed the world,2023-11-22,410,73,13,Fake News,Bot
72,Shocking news about matter that will surprise you,2023-02-04,927,6,6,Fake News,Organization
73,Exclusive deal: 70% off on community for limited time,2023-09-24,409,7,12,Spam,Bot
74,Win a free ten by clicking this link now!,2023-09-09,522,15,32,Spam,Bot
75,Interesting facts about yourself you didn't know,2023-07-28,186,9,12,Legitimate,Individual
76,Win a free foot by clicking this link now!,2023-07-14,780,4,23,Spam,Bot
77,Win a free fund by clicking this link now!,2023-08-10,494,95,13,Spam,Organization
78,Unbelievable story of how a think changed the world,2023-11-05,169,31,18,Fake News,Organization
79,Win a free consumer by clicking this link now!,2023-04-22,208,17,5,Spam,Organization
80,You're the lucky visitor! Claim your present today.,2022-12-11,311,44,50,Spam,Bot
81,Breaking: Famous celebrity rumored to natural,2023-04-19,758,16,9,Fake News,Individual
82,5 Tips for a healthier lifestyle in present,2023-01-25,343,80,0,Legitimate,Organization
83,Unbelievable story of how a movement changed the world,2023-04-01,966,41,50,Fake News,Individual
84,Exclusive deal: 70% off on guess for limited time,2023-03-22,262,72,28,Spam,Individual
85,Interesting facts about draw you didn't know,2023-10-31,989,13,6,Legitimate,Organization
86,Interesting facts about how you didn't know,2023-02-21,619,30,29,Legitimate,Individual
87,Unbelievable story of how a page changed the world,2023-11-10,652,30,12,Fake News,Bot
88,Win a free writer by clicking this link now!,2023-06-30,797,37,38,Spam,Bot
89,Win a free analysis by clicking this link now!,2023-03-15,202,18,15,Spam,Individual
90,Breaking: Famous celebrity rumored to bank,2023-08-30,640,81,47,Fake News,Bot
91,Win a free officer by clicking this link now!,2023-08-10,109,49,29,Spam,Organization
92,Win a free up by clicking this link now!,2023-04-04,653,93,19,Spam,Individual
93,Shocking news about need that will surprise you,2023-09-28,772,94,28,Fake News,Bot
94,Breaking: Famous celebrity rumored to billion,2023-07-05,334,66,11,Fake News,Individual
95,Unbelievable story of how a a changed the world,2023-01-04,918,77,25,Fake News,Organization
96,Exclusive deal: 70% off on hard for limited time,2023-09-03,978,33,6,Spam,Bot
97,Exclusive deal: 70% off on the for limited time,2023-06-02,871,59,42,Spam,Organization
98,Interesting facts about draw you didn't know,2023-11-28,210,5,20,Legitimate,Organization
99,Win a free easy by clicking this link now!,2023-05-29,535,100,5,Spam,Bot
100,Breaking: Famous celebrity rumored to he,2023-04-08,267,43,15,Fake News,Individual
101,Exclusive deal: 70% off on build for limited time,2023-05-23,550,36,23,Spam,Individual
102,Interesting facts about leg you didn't know,2023-08-28,493,38,47,Legitimate,Bot
103,Interesting facts about per you didn't know,2022-12-06,210,40,33,Legitimate,Individual
104,Win a free interview by clicking this link now!,2023-06-14,355,9,19,Spam,Individual
105,Check out these amazing natural remedies for more!,2023-05-26,533,83,31,Legitimate,Organization
106,Check out these amazing natural remedies for Congress!,2023-06-02,797,12,7,Legitimate,Bot
107,Unbelievable story of how a major changed the world,2023-05-31,703,88,26,Fake News,Bot
108,Breaking: Famous celebrity rumored to court,2022-12-04,616,6,41,Fake News,Organization
109,Check out these amazing natural remedies for get!,2023-11-28,837,72,28,Legitimate,Organization
110,Shocking news about record that will surprise you,2023-05-07,325,44,38,Fake News,Individual
111,Check out these amazing natural remedies for fire!,2023-09-01,260,18,24,Legitimate,Individual
112,Unbelievable story of how a voice changed the world,2023-10-05,224,9,43,Fake News,Individual
113,5 Tips for a healthier lifestyle in agreement,2023-05-10,879,48,20,Legitimate,Individual
114,Unbelievable story of how a avoid changed the world,2023-01-30,615,48,15,Fake News,Bot
115,Shocking news about he that will surprise you,2023-08-15,195,75,13,Fake News,Bot
116,Shocking news about word that will surprise you,2023-07-08,455,69,9,Fake News,Individual
117,Breaking: Famous celebrity rumored to or,2023-05-31,161,92,42,Fake News,Individual
118,Shocking news about consumer that will surprise you,2023-05-29,219,74,32,Fake News,Bot
119,Check out these amazing natural remedies for population!,2023-09-08,679,5,15,Legitimate,Organization
120,5 Tips for a healthier lifestyle in sound,2023-02-14,568,68,26,Legitimate,Individual
121,5 Tips for a healthier lifestyle in real,2023-05-25,603,40,43,Legitimate,Bot
122,Check out these amazing natural remedies for space!,2023-01-31,475,29,27,Legitimate,Individual
123,Win a free type by clicking this link now!,2022-12-18,552,15,6,Spam,Bot
124,5 Tips for a healthier lifestyle in information,2023-11-13,813,68,1,Legitimate,Individual
125,Exclusive deal: 70% off on question for limited time,2023-06-16,373,47,45,Spam,Individual
126,Exclusive deal: 70% off on story for limited time,2023-06-04,377,91,13,Spam,Organization
127,You're the lucky visitor! Claim your oil today.,2023-09-23,312,21,0,Spam,Organization
128,You're the lucky visitor! Claim your color today.,2023-10-26,407,99,18,Spam,Individual
129,You're the lucky visitor! Claim your with today.,2023-08-23,629,73,16,Spam,Bot
130,5 Tips for a healthier lifestyle in of,2023-09-14,648,79,14,Legitimate,Organization
131,Interesting facts about piece you didn't know,2023-11-28,840,80,12,Legitimate,Organization
132,Unbelievable story of how a ability changed the world,2023-10-27,966,66,3,Fake News,Organization
133,Win a free building by clicking this link now!,2023-02-11,507,57,49,Spam,Bot
134,Unbelievable story of how a property changed the world,2022-11-29,451,23,38,Fake News,Bot
135,You're the lucky visitor! Claim your because today.,2023-06-26,348,59,5,Spam,Individual
136,5 Tips for a healthier lifestyle in able,2023-08-22,440,80,31,Legitimate,Individual
137,Exclusive deal: 70% off on arm for limited time,2023-08-13,657,48,31,Spam,Individual
138,Interesting facts about specific you didn't know,2023-09-26,421,95,27,Legitimate,Organization
139,Interesting facts about blue you didn't know,2023-02-09,388,93,26,Legitimate,Individual
140,Unbelievable story of how a lead changed the world,2023-09-08,517,52,48,Fake News,Individual
141,Interesting facts about owner you didn't know,2023-04-05,443,63,28,Legitimate,Individual
142,You're the lucky visitor! Claim your leader today.,2023-06-05,122,38,0,Spam,Bot
143,You're the lucky visitor! Claim your whatever today.,2023-02-02,230,37,32,Spam,Individual
144,Unbelievable story of how a certainly changed the world,2023-07-21,699,18,47,Fake News,Individual
145,Win a free current by clicking this link now!,2022-11-29,715,86,38,Spam,Bot
146,Check out these amazing natural remedies for somebody!,2023-02-20,745,75,48,Legitimate,Bot
147,You're the lucky visitor! Claim your road today.,2022-12-01,369,81,49,Spam,Organization
148,You're the lucky visitor! Claim your here today.,2023-06-18,410,38,44,Spam,Organization
149,Shocking news about whose that will surprise you,2022-12-12,477,69,45,Fake News,Individual
150,Breaking: Famous celebrity rumored to sure,2023-03-07,963,88,2,Fake News,Organization
151,Interesting facts about professional you didn't know,2023-02-15,697,22,5,Legitimate,Bot
152,You're the lucky visitor! Claim your power today.,2023-06-16,872,13,49,Spam,Organization
153,You're the lucky visitor! Claim your peace today.,2023-01-13,894,62,28,Spam,Organization
154,You're the lucky visitor! Claim your moment today.,2023-07-22,284,10,39,Spam,Bot
155,Breaking: Famous celebrity rumored to attorney,2023-11-21,674,58,5,Fake News,Organization
156,5 Tips for a healthier lifestyle in several,2023-03-11,424,95,15,Legitimate,Individual
157,Breaking: Famous celebrity rumored to side,2023-09-16,118,16,39,Fake News,Individual
158,Shocking news about movie that will surprise you,2023-04-12,986,25,17,Fake News,Organization
159,Exclusive deal: 70% off on detail for limited time,2023-11-10,518,94,3,Spam,Individual
160,Breaking: Famous celebrity rumored to large,2023-04-08,993,44,49,Fake News,Bot
161,Interesting facts about performance you didn't know,2023-10-12,119,11,32,Legitimate,Organization
162,Unbelievable story of how a must changed the world,2023-04-03,810,66,38,Fake News,Individual
163,Interesting facts about upon you didn't know,2023-08-17,940,11,0,Legitimate,Organization
164,Breaking: Famous celebrity rumored to guess,2023-09-05,437,46,13,Fake News,Bot
165,Check out these amazing natural remedies for free!,2023-08-28,454,98,20,Legitimate,Bot
166,5 Tips for a healthier lifestyle in cell,2023-11-07,973,76,25,Legitimate,Individual
167,Shocking news about cultural that will surprise you,2023-10-11,286,20,13,Fake News,Organization
168,5 Tips for a healthier lifestyle in culture,2023-04-28,702,20,21,Legitimate,Bot
169,Interesting facts about produce you didn't know,2022-12-28,520,42,12,Legitimate,Bot
170,Shocking news about give that will surprise you,2023-04-17,254,3,46,Fake News,Organization
171,Exclusive deal: 70% off on now for limited time,2023-10-25,604,99,21,Spam,Individual
172,Breaking: Famous celebrity rumored to sense,2023-10-09,302,100,50,Fake News,Organization
173,5 Tips for a healthier lifestyle in begin,2023-07-05,235,80,33,Legitimate,Bot
174,You're the lucky visitor! Claim your sport today.,2023-01-04,186,35,24,Spam,Individual
175,Shocking news about people that will surprise you,2023-11-04,908,95,42,Fake News,Organization
176,Interesting facts about already you didn't know,2023-05-05,556,65,30,Legitimate,Bot
177,Breaking: Famous celebrity rumored to long,2023-02-28,198,38,11,Fake News,Organization
178,5 Tips for a healthier lifestyle in thousand,2023-10-19,631,59,26,Legitimate,Bot
179,Win a free contain by clicking this link now!,2023-06-20,133,93,13,Spam,Organization
180,Exclusive deal: 70% off on involve for limited time,2023-11-28,465,33,31,Spam,Individual
181,Unbelievable story of how a single changed the world,2023-11-27,373,41,12,Fake News,Organization
182,Shocking news about beyond that will surprise you,2023-11-04,236,66,19,Fake News,Bot
183,Exclusive deal: 70% off on process for limited time,2023-04-15,548,97,23,Spam,Bot
184,Interesting facts about hit you didn't know,2023-10-31,418,66,9,Legitimate,Bot
185,Exclusive deal: 70% off on evening for limited time,2023-06-04,348,5,21,Spam,Organization
186,Unbelievable story of how a specific changed the world,2023-11-22,599,88,9,Fake News,Individual
187,Check out these amazing natural remedies for wide!,2023-09-12,761,43,3,Legitimate,Bot
188,Interesting facts about south you didn't know,2023-07-04,149,78,46,Legitimate,Individual
189,Unbelievable story of how a station changed the world,2023-08-24,868,92,23,Fake News,Individual
190,You're the lucky visitor! Claim your admit today.,2022-12-05,693,70,36,Spam,Bot
191,Win a free media by clicking this link now!,2023-05-31,755,68,24,Spam,Organization
192,5 Tips for a healthier lifestyle in send,2023-01-14,205,34,5,Legitimate,Individual
193,Interesting facts about suffer you didn't know,2023-04-20,935,25,33,Legitimate,Organization
194,Win a free often by clicking this link now!,2023-01-28,872,57,42,Spam,Organization
195,Check out these amazing natural remedies for whom!,2023-10-03,625,83,2,Legitimate,Bot
196,Check out these amazing natural remedies for close!,2023-03-06,127,7,45,Legitimate,Organization
197,Breaking: Famous celebrity rumored to floor,2023-03-01,265,32,35,Fake News,Individual
198,Unbelievable story of how a sit changed the world,2023-10-08,732,63,11,Fake News,Bot
199,Interesting facts about claim you didn't know,2023-02-12,723,45,12,Legitimate,Organization
200,Interesting facts about turn you didn't know,2023-02-23,181,37,41,Legitimate,Individual
201,5 Tips for a healthier lifestyle in product,2023-07-18,680,83,1,Legitimate,Bot
202,Shocking news about Congress that will surprise you,2023-03-26,168,57,14,Fake News,Organization
203,Exclusive deal: 70% off on defense for limited time,2023-04-20,799,67,22,Spam,Individual
204,Check out these amazing natural remedies for enjoy!,2023-04-03,947,65,13,Legitimate,Individual
205,Win a free Democrat by clicking this link now!,2023-09-11,388,15,42,Spam,Individual
206,Breaking: Famous celebrity rumored to others,2023-05-14,667,97,40,Fake News,Organization
207,5 Tips for a healthier lifestyle in red,2023-08-22,353,51,45,Legitimate,Organization
208,Check out these amazing natural remedies for miss!,2023-08-30,997,75,27,Legitimate,Organization
209,Win a free imagine by clicking this link now!,2023-01-15,711,80,4,Spam,Bot
210,Exclusive deal: 70% off on suggest for limited time,2023-02-13,245,63,38,Spam,Bot
211,Exclusive deal: 70% off on once for limited time,2023-07-08,251,97,28,Spam,Individual
212,You're the lucky visitor! Claim your sing today.,2023-10-05,601,34,50,Spam,Individual
213,Check out these amazing natural remedies for serve!,2022-12-16,414,57,3,Legitimate,Individual
214,Exclusive deal: 70% off on begin for limited time,2023-04-29,301,23,32,Spam,Individual
215,Breaking: Famous celebrity rumored to her,2023-09-22,775,38,32,Fake News,Bot
216,Win a free side by clicking this link now!,2023-04-25,909,78,2,Spam,Bot
217,Shocking news about southern that will surprise you,2023-01-28,224,48,0,Fake News,Organization
218,Win a free live by clicking this link now!,2023-11-14,513,8,16,Spam,Individual
219,5 Tips for a healthier lifestyle in car,2022-12-11,216,66,16,Legitimate,Organization
220,Win a free bring by clicking this link now!,2023-06-02,668,67,26,Spam,Bot
221,Shocking news about ten that will surprise you,2023-01-06,100,8,39,Fake News,Bot
222,Interesting facts about reason you didn't know,2023-01-13,311,26,39,Legitimate,Individual
223,Breaking: Famous celebrity rumored to goal,2023-01-31,361,3,38,Fake News,Organization
224,5 Tips for a healthier lifestyle in program,2023-11-26,190,25,25,Legitimate,Organization
225,Shocking news about every that will surprise you,2022-12-05,318,23,9,Fake News,Individual
226,Shocking news about ground that will surprise you,2023-11-28,739,70,15,Fake News,Organization
227,Breaking: Famous celebrity rumored to find,2022-12-31,260,25,39,Fake News,Bot
228,Check out these amazing natural remedies for rate!,2023-01-23,321,69,29,Legitimate,Individual
229,Breaking: Famous celebrity rumored to others,2023-07-07,422,21,6,Fake News,Bot
230,You're the lucky visitor! Claim your him today.,2023-11-07,209,55,6,Spam,Organization
231,Unbelievable story of how a thank changed the world,2023-03-27,967,39,42,Fake News,Bot
232,Check out these amazing natural remedies for community!,2023-07-19,921,15,9,Legitimate,Bot
233,You're the lucky visitor! Claim your quality today.,2023-07-11,916,98,6,Spam,Organization
234,Shocking news about perhaps that will surprise you,2023-06-26,211,21,14,Fake News,Organization
235,You're the lucky visitor! Claim your they today.,2023-03-12,870,83,25,Spam,Individual
236,Interesting facts about professor you didn't know,2022-12-06,326,10,32,Legitimate,Bot
237,Win a free create by clicking this link now!,2023-08-31,333,94,24,Spam,Bot
238,Win a free unit by clicking this link now!,2023-05-28,610,8,14,Spam,Organization
239,5 Tips for a healthier lifestyle in special,2022-12-17,928,65,49,Legitimate,Organization
240,Shocking news about suddenly that will surprise you,2023-03-13,363,19,22,Fake News,Organization
241,Unbelievable story of how a sound changed the world,2023-01-16,725,70,4,Fake News,Bot
242,Unbelievable story of how a listen changed the world,2022-12-13,402,23,33,Fake News,Organization
243,Interesting facts about data you didn't know,2023-06-28,537,53,16,Legitimate,Individual
244,Check out these amazing natural remedies for cultural!,2023-04-07,880,56,7,Legitimate,Bot
245,Interesting facts about finally you didn't know,2023-02-01,485,29,31,Legitimate,Bot
246,Interesting facts about should you didn't know,2023-01-12,563,29,16,Legitimate,Bot
247,Interesting facts about cold you didn't know,2023-11-05,991,12,39,Legitimate,Individual
248,Exclusive deal: 70% off on hot for limited time,2023-09-27,137,4,44,Spam,Organization
249,5 Tips for a healthier lifestyle in president,2023-02-03,976,96,12,Legitimate,Organization
250,Breaking: Famous celebrity rumored to have,2023-07-19,786,14,30,Fake News,Organization
251,Shocking news about among that will surprise you,2023-03-27,271,81,36,Fake News,Organization
252,Win a free staff by clicking this link now!,2023-01-14,162,67,7,Spam,Individual
253,Breaking: Famous celebrity rumored to music,2023-02-14,823,29,9,Fake News,Organization
254,Breaking: Famous celebrity rumored to ok,2023-05-10,587,23,40,Fake News,Organization
255,Exclusive deal: 70% off on car for limited time,2023-10-12,343,51,42,Spam,Bot
256,Exclusive deal: 70% off on listen for limited time,2023-07-10,366,93,12,Spam,Bot
257,Win a free safe by clicking this link now!,2023-04-08,647,44,18,Spam,Organization
258,Breaking: Famous celebrity rumored to skin,2023-03-04,490,82,45,Fake News,Bot
259,Shocking news about agency that will surprise you,2023-10-12,844,71,39,Fake News,Organization
260,Interesting facts about name you didn't know,2023-03-11,817,52,18,Legitimate,Individual
261,Interesting facts about sometimes you didn't know,2023-05-11,133,19,46,Legitimate,Bot
262,You're the lucky visitor! Claim your think today.,2023-10-27,807,35,36,Spam,Bot
263,5 Tips for a healthier lifestyle in explain,2023-08-28,755,75,29,Legitimate,Bot
264,You're the lucky visitor! Claim your movie today.,2023-09-27,338,83,4,Spam,Bot
265,You're the lucky visitor! Claim your blue today.,2023-11-28,525,41,48,Spam,Bot
266,You're the lucky visitor! Claim your affect today.,2023-11-12,330,91,3,Spam,Bot
267,Shocking news about special that will surprise you,2023-07-11,350,51,10,Fake News,Bot
268,Exclusive deal: 70% off on market for limited time,2023-07-04,235,84,36,Spam,Individual
269,Interesting facts about film you didn't know,2023-09-04,709,66,43,Legitimate,Individual
270,Win a free above by clicking this link now!,2023-03-10,453,43,13,Spam,Bot
271,5 Tips for a healthier lifestyle in federal,2023-08-12,361,9,6,Legitimate,Bot
272,Shocking news about by that will surprise you,2023-07-21,922,85,35,Fake News,Organization
273,Unbelievable story of how a its changed the world,2023-11-27,571,83,23,Fake News,Individual
274,You're the lucky visitor! Claim your single today.,2023-03-18,854,32,3,Spam,Organization
275,Interesting facts about adult you didn't know,2023-10-15,757,80,14,Legitimate,Organization
276,Unbelievable story of how a town changed the world,2023-10-27,908,2,19,Fake News,Bot
277,5 Tips for a healthier lifestyle in everybody,2022-12-06,721,54,42,Legitimate,Bot
278,Unbelievable story of how a health changed the world,2022-12-29,136,12,8,Fake News,Organization
279,Win a free available by clicking this link now!,2023-09-20,174,34,33,Spam,Organization
280,Win a free environment by clicking this link now!,2023-08-31,319,43,2,Spam,Bot
281,5 Tips for a healthier lifestyle in father,2023-02-14,632,21,49,Legitimate,Organization
282,Win a free pressure by clicking this link now!,2023-07-30,941,32,14,Spam,Organization
283,Shocking news about everybody that will surprise you,2023-04-26,663,27,21,Fake News,Bot
284,Check out these amazing natural remedies for American!,2023-02-19,767,58,34,Legitimate,Individual
285,5 Tips for a healthier lifestyle in consider,2022-12-23,632,72,13,Legitimate,Organization
286,5 Tips for a healthier lifestyle in mouth,2022-12-07,715,67,35,Legitimate,Bot
287,You're the lucky visitor! Claim your start today.,2023-09-19,842,82,40,Spam,Organization
288,You're the lucky visitor! Claim your bag today.,2023-09-04,591,62,46,Spam,Bot
289,Interesting facts about seven you didn't know,2022-12-14,488,65,19,Legitimate,Organization
290,Unbelievable story of how a clear changed the world,2023-06-02,135,59,35,Fake News,Organization
291,Exclusive deal: 70% off on bring for limited time,2022-12-18,849,20,30,Spam,Organization
292,Win a free continue by clicking this link now!,2023-06-14,443,12,1,Spam,Individual
293,5 Tips for a healthier lifestyle in prove,2023-09-11,185,8,41,Legitimate,Organization
294,Unbelievable story of how a though changed the world,2023-05-07,131,42,26,Fake News,Bot
295,5 Tips for a healthier lifestyle in ability,2023-10-30,944,71,46,Legitimate,Organization
296,Exclusive deal: 70% off on word for limited time,2023-07-22,906,0,16,Spam,Bot
297,Interesting facts about event you didn't know,2023-03-05,479,28,49,Legitimate,Individual
298,Exclusive deal: 70% off on bed for limited time,2023-07-05,329,41,44,Spam,Bot
299,Shocking news about go that will surprise you,2023-05-11,864,83,40,Fake News,Individual
300,Check out these amazing natural remedies for weight!,2023-04-13,231,90,18,Legitimate,Organization
301,Interesting facts about above you didn't know,2023-05-01,576,61,48,Legitimate,Organization
302,Breaking: Famous celebrity rumored to pattern,2023-01-21,821,14,44,Fake News,Bot
303,Shocking news about card that will surprise you,2023-03-11,506,25,35,Fake News,Individual
304,Shocking news about agree that will surprise you,2023-07-31,410,65,24,Fake News,Bot
305,Win a free size by clicking this link now!,2023-07-03,275,32,15,Spam,Organization
306,Breaking: Famous celebrity rumored to serious,2023-06-21,657,76,49,Fake News,Individual
307,Interesting facts about state you didn't know,2023-09-27,469,81,10,Legitimate,Organization
308,Unbelievable story of how a evidence changed the world,2023-07-31,545,46,21,Fake News,Bot
309,5 Tips for a healthier lifestyle in reality,2023-07-23,481,35,20,Legitimate,Organization
310,Shocking news about challenge that will surprise you,2023-07-11,262,93,22,Fake News,Bot
311,Check out these amazing natural remedies for friend!,2023-11-07,927,97,40,Legitimate,Organization
312,Unbelievable story of how a speak changed the world,2023-08-16,580,16,15,Fake News,Bot
313,Shocking news about someone that will surprise you,2022-11-29,288,70,1,Fake News,Organization
314,Exclusive deal: 70% off on catch for limited time,2022-12-20,251,23,14,Spam,Individual
315,Interesting facts about save you didn't know,2023-08-02,844,18,19,Legitimate,Bot
316,You're the lucky visitor! Claim your treat today.,2023-11-17,726,45,33,Spam,Individual
317,Exclusive deal: 70% off on perhaps for limited time,2023-04-18,972,0,50,Spam,Individual
318,Interesting facts about customer you didn't know,2023-10-25,136,23,14,Legitimate,Bot
319,Breaking: Famous celebrity rumored to try,2023-10-31,651,99,15,Fake News,Bot
320,Breaking: Famous celebrity rumored to he,2023-07-28,934,63,8,Fake News,Individual
321,Win a free decision by clicking this link now!,2023-11-20,956,26,27,Spam,Organization
322,You're the lucky visitor! Claim your region today.,2023-03-29,770,70,9,Spam,Bot
323,You're the lucky visitor! Claim your decision today.,2023-01-19,408,62,16,Spam,Individual
324,Win a free century by clicking this link now!,2023-07-28,608,95,22,Spam,Bot
325,5 Tips for a healthier lifestyle in senior,2023-04-10,948,12,31,Legitimate,Bot
326,Shocking news about range that will surprise you,2023-05-20,967,93,24,Fake News,Bot
327,Shocking news about body that will surprise you,2023-01-24,680,16,14,Fake News,Bot
328,You're the lucky visitor! Claim your meet today.,2023-01-20,699,83,8,Spam,Individual
329,Shocking news about simply that will surprise you,2023-11-11,917,67,30,Fake News,Bot
330,Interesting facts about government you didn't know,2023-11-08,868,66,11,Legitimate,Individual
331,Interesting facts about their you didn't know,2023-02-23,743,45,15,Legitimate,Bot
332,5 Tips for a healthier lifestyle in home,2023-03-29,530,77,35,Legitimate,Individual
333,You're the lucky visitor! Claim your never today.,2023-02-02,209,31,41,Spam,Organization
334,Win a free garden by clicking this link now!,2023-01-26,666,50,6,Spam,Individual
335,Shocking news about change that will surprise you,2023-07-25,210,63,41,Fake News,Individual
336,Win a free firm by clicking this link now!,2023-04-26,330,62,15,Spam,Bot
337,Check out these amazing natural remedies for century!,2023-08-06,694,37,31,Legitimate,Organization
338,Shocking news about now that will surprise you,2023-10-31,205,76,17,Fake News,Organization
339,5 Tips for a healthier lifestyle in anyone,2023-09-02,362,58,4,Legitimate,Bot
340,Interesting facts about pull you didn't know,2023-07-26,248,85,20,Legitimate,Organization
341,Exclusive deal: 70% off on cause for limited time,2023-05-25,302,11,22,Spam,Individual
